time_a,time_b,indice_forca_a,indice_forca_b,gols_esperados_a,gols_esperados_b,sede_a,sede_b,prob_vitoria_a,prob_empate,prob_vitoria_b,placar_provavel,prob_placar,top5_placares,gerado_em,grupo
Costa do Marfim,Equador,31.8,66.3,0.8561,1.7839,False,False,17.7,23.0,59.2,0 x 1,12.7,"[{'placar': '0 x 1', 'probabilidade': 12.7}, {'placar': '0 x 2', 'probabilidade': 11.4}, {'placar': '1 x 1', 'probabilidade': 10.9}, {'placar': '1 x 2', 'probabilidade': 9.7}, {'placar': '0 x 0', 'probabilidade': 7.1}]",2026-05-11 08:32:34,E
Holanda,Japao,88.8,60.2,1.5736,1.0664,False,False,49.0,25.2,25.8,1 x 1,12.0,"[{'placar': '1 x 1', 'probabilidade': 12.0}, {'placar': '1 x 0', 'probabilidade': 11.2}, {'placar': '2 x 1', 'probabilidade': 9.4}, {'placar': '2 x 0', 'probabilidade': 8.8}, {'placar': '0 x 1', 'probabilidade': 7.6}]",2026-05-11 08:32:34,F
Holanda,Suecia,88.8,63.4,1.5404,1.0996,False,False,47.4,25.4,27.1,1 x 1,12.1,"[{'placar': '1 x 1', 'probabilidade': 12.1}, {'placar': '1 x 0', 'probabilidade': 11.0}, {'placar': '2 x 1', 'probabilidade': 9.3}, {'placar': '2 x 0', 'probabilidade': 8.5}, {'placar': '0 x 1', 'probabilidade': 7.8}]",2026-05-11 08:32:34,F
Holanda,Tunisia,88.8,36.1,1.8768,0.7632,False,False,63.7,21.7,14.6,1 x 0,13.4,"[{'placar': '1 x 0', 'probabilidade': 13.4}, {'placar': '2 x 0', 'probabilidade': 12.6}, {'placar': '1 x 1', 'probabilidade': 10.2}, {'placar': '2 x 1', 'probabilidade': 9.6}, {'placar': '3 x 0', 'probabilidade': 7.9}]",2026-05-11 08:32:34,F
Japao,Suecia,60.2,63.4,1.2857,1.3543,False,False,35.3,26.2,38.5,1 x 1,12.4,"[{'placar': '1 x 1', 'probabilidade': 12.4}, {'placar': '0 x 1', 'probabilidade': 9.7}, {'placar': '1 x 0', 'probabilidade': 9.2}, {'placar': '1 x 2', 'probabilidade': 8.4}, {'placar': '2 x 1', 'probabilidade': 8.0}]",2026-05-11 08:32:34,F
Japao,Tunisia,60.2,36.1,1.6499,0.9901,False,False,52.7,24.6,22.7,1 x 0,11.8,"[{'placar': '1 x 0', 'probabilidade': 11.8}, {'placar': '1 x 1', 'probabilidade': 11.7}, {'placar': '2 x 0', 'probabilidade': 9.7}, {'placar': '2 x 1', 'probabilidade': 9.6}, {'placar': '0 x 0', 'probabilidade': 7.1}]",2026-05-11 08:32:34,F
Suecia,Tunisia,63.4,36.1,1.6819,0.9581,False,False,54.3,24.2,21.5,1 x 0,12.0,"[{'placar': '1 x 0', 'probabilidade': 12.0}, {'placar': '1 x 1', 'probabilidade': 11.5}, {'placar': '2 x 0', 'probabilidade': 10.1}, {'placar': '2 x 1', 'probabilidade': 9.7}, {'placar': '0 x 0', 'probabilidade': 7.1}]",2026-05-11 08:32:34,F
Belgica,Egito,82.6,30.8,1.9239,0.7161,False,False,65.9,21.0,13.1,1 x 0,13.7,"[{'placar': '1 x 0', 'probabilidade': 13.7}, {'placar': '2 x 0', 'probabilidade': 13.2}, {'placar': '1 x 1', 'probabilidade': 9.8}, {'placar': '2 x 1', 'probabilidade': 9.5}, {'placar': '3 x 0', 'probabilidade': 8.5}]",2026-05-11 08:32:34,G
Belgica,Ira,82.6,46.8,1.6855,0.9545,False,False,54.5,24.2,21.3,1 x 0,12.0,"[{'placar': '1 x 0', 'probabilidade': 12.0}, {'placar': '1 x 1', 'probabilidade': 11.5}, {'placar': '2 x 0', 'probabilidade': 10.1}, {'placar': '2 x 1', 'probabilidade': 9.7}, {'placar': '0 x 0', 'probabilidade': 7.1}]",2026-05-11 08:32:34,G
Belgica,Nova Zelandia,82.6,16.8,2.193,0.447,False,False,77.6,16.2,6.2,2 x 0,17.2,"[{'placar': '2 x 0', 'probabilidade': 17.2}, {'placar': '1 x 0', 'probabilidade': 15.6}, {'placar': '3 x 0', 'probabilidade': 12.5}, {'placar': '2 x 1', 'probabilidade': 7.7}, {'placar': '0 x 0', 'probabilidade': 7.1}]",2026-05-11 08:32:34,G
Egito,Ira,30.8,46.8,1.0469,1.5931,False,False,25.0,25.1,50.0,1 x 1,11.9,"[{'placar': '1 x 1', 'probabilidade': 11.9}, {'placar': '0 x 1', 'probabilidade': 11.4}, {'placar': '1 x 2', 'probabilidade': 9.5}, {'placar': '0 x 2', 'probabilidade': 9.1}, {'placar': '1 x 0', 'probabilidade': 7.5}]",2026-05-11 08:32:34,G
